product_id,name,category,brand,price_thb,specs,description
LAP001,Dell Latitude 5540,Laptop,Dell,42000,"{""cpu"": ""Intel Core i5-1345U"", ""ram_gb"": 16, ""storage_gb"": 512, ""display_inch"": 15.6, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.8}","Business laptop with long battery life, suitable for office and remote work."
LAP002,Dell Latitude 5540 i7,Laptop,Dell,55000,"{""cpu"": ""Intel Core i7-1365U"", ""ram_gb"": 32, ""storage_gb"": 1024, ""display_inch"": 15.6, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.8}",High-performance business laptop for power users and developers.
LAP003,HP EliteBook 840 G10,Laptop,HP,48000,"{""cpu"": ""Intel Core i5-1335U"", ""ram_gb"": 16, ""storage_gb"": 512, ""display_inch"": 14.0, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.4}",Premium compact business laptop with enterprise security features.
LAP004,HP EliteBook 860 G10,Laptop,HP,62000,"{""cpu"": ""Intel Core i7-1355U"", ""ram_gb"": 32, ""storage_gb"": 1024, ""display_inch"": 16.0, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.9}",Large-screen business laptop ideal for multitasking and data work.
LAP005,Lenovo ThinkPad E14 Gen 5,Laptop,Lenovo,38000,"{""cpu"": ""AMD Ryzen 5 7530U"", ""ram_gb"": 16, ""storage_gb"": 512, ""display_inch"": 14.0, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.6}",Affordable ThinkPad with AMD Ryzen for everyday business tasks.
LAP006,Lenovo ThinkPad X1 Carbon Gen 11,Laptop,Lenovo,78000,"{""cpu"": ""Intel Core i7-1365U"", ""ram_gb"": 32, ""storage_gb"": 1024, ""display_inch"": 14.0, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.1}",Ultra-light premium laptop for executives and frequent travelers.
LAP007,Asus ExpertBook B5 Flip,Laptop,Asus,45000,"{""cpu"": ""Intel Core i5-1335U"", ""ram_gb"": 16, ""storage_gb"": 512, ""display_inch"": 14.0, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.5, ""form_factor"": ""2-in-1""}",2-in-1 convertible laptop for flexible use in meetings and presentations.
LAP008,Acer TravelMate P4,Laptop,Acer,35000,"{""cpu"": ""Intel Core i5-1235U"", ""ram_gb"": 8, ""storage_gb"": 256, ""display_inch"": 14.0, ""os"": ""Windows 11 Pro"", ""weight_kg"": 1.5}",Entry-level business laptop for basic office tasks on a budget.
DES001,Dell OptiPlex 7010 SFF,Desktop,Dell,28000,"{""cpu"": ""Intel Core i5-13500"", ""ram_gb"": 16, ""storage_gb"": 512, ""form_factor"": ""SFF"", ""os"": ""Windows 11 Pro""}",Compact small form factor desktop for office environments with limited space.
DES002,Dell OptiPlex 7010 Tower,Desktop,Dell,32000,"{""cpu"": ""Intel Core i7-13700"", ""ram_gb"": 32, ""storage_gb"": 1024, ""form_factor"": ""Tower"", ""os"": ""Windows 11 Pro""}",Full tower desktop with expansion slots for power users and developers.
DES003,HP ProDesk 400 G9 SFF,Desktop,HP,25000,"{""cpu"": ""Intel Core i5-12500"", ""ram_gb"": 8, ""storage_gb"": 256, ""form_factor"": ""SFF"", ""os"": ""Windows 11 Pro""}",Budget-friendly compact desktop for basic office productivity.
DES004,Lenovo ThinkCentre M90s,Desktop,Lenovo,30000,"{""cpu"": ""Intel Core i7-13700"", ""ram_gb"": 16, ""storage_gb"": 512, ""form_factor"": ""SFF"", ""os"": ""Windows 11 Pro""}",Reliable business desktop with strong security and manageability features.
SRV001,Dell PowerEdge R350,Server,Dell,85000,"{""cpu"": ""Intel Xeon E-2336"", ""ram_gb"": 32, ""storage_gb"": 2000, ""form_factor"": ""1U Rack"", ""raid"": ""RAID 5"", ""os"": ""Windows Server 2022""}",Entry-level rack server ideal for small business file and application hosting.
SRV002,Dell PowerEdge R450,Server,Dell,145000,"{""cpu"": ""Intel Xeon Silver 4314"", ""ram_gb"": 64, ""storage_gb"": 4000, ""form_factor"": ""1U Rack"", ""raid"": ""RAID 10"", ""os"": ""Windows Server 2022""}","Mid-range rack server for databases, virtualization, and ML inference workloads."
SRV003,Dell PowerEdge R750,Server,Dell,320000,"{""cpu"": ""Intel Xeon Gold 6330"", ""ram_gb"": 256, ""storage_gb"": 8000, ""form_factor"": ""2U Rack"", ""raid"": ""RAID 10"", ""gpu"": ""NVIDIA A100 40GB"", ""os"": ""Ubuntu 22.04""}",High-performance AI and ML training server with GPU acceleration.
SRV004,HP ProLiant DL380 Gen10,Server,HP,180000,"{""cpu"": ""Intel Xeon Silver 4210R"", ""ram_gb"": 128, ""storage_gb"": 6000, ""form_factor"": ""2U Rack"", ""raid"": ""RAID 5"", ""os"": ""Windows Server 2022""}",Versatile 2U server for enterprise applications and virtualization.
SRV005,HP ProLiant ML350 Gen10,Server,HP,120000,"{""cpu"": ""Intel Xeon Silver 4208"", ""ram_gb"": 64, ""storage_gb"": 4000, ""form_factor"": ""Tower"", ""raid"": ""RAID 5"", ""os"": ""Windows Server 2022""}",Tower server suitable for branch offices without dedicated server racks.
SRV006,Lenovo ThinkSystem SR630 V2,Server,Lenovo,195000,"{""cpu"": ""Intel Xeon Gold 5318Y"", ""ram_gb"": 128, ""storage_gb"": 4000, ""form_factor"": ""1U Rack"", ""raid"": ""RAID 10"", ""os"": ""Ubuntu 22.04""}",Dense 1U server optimized for cloud-native and containerized workloads.
NET001,Cisco Catalyst 2960-X 24-Port,Network Switch,Cisco,35000,"{""ports"": 24, ""speed_gbps"": 1, ""uplink_ports"": 4, ""uplink_speed_gbps"": 10, ""managed"": true, ""poe"": false}",Managed Layer 2 switch for small to medium office networks.
NET002,Cisco Catalyst 9200 48-Port PoE,Network Switch,Cisco,75000,"{""ports"": 48, ""speed_gbps"": 1, ""uplink_ports"": 4, ""uplink_speed_gbps"": 10, ""managed"": true, ""poe"": true, ""poe_budget_w"": 740}","PoE switch supporting IP phones, access points, and IoT devices."
NET003,HP Aruba 2530 24G,Network Switch,HP,22000,"{""ports"": 24, ""speed_gbps"": 1, ""uplink_ports"": 4, ""uplink_speed_gbps"": 1, ""managed"": true, ""poe"": false}",Affordable managed switch for small office network deployments.
NET004,Ubiquiti UniFi Switch 48 Pro,Network Switch,Ubiquiti,28000,"{""ports"": 48, ""speed_gbps"": 1, ""uplink_ports"": 4, ""uplink_speed_gbps"": 10, ""managed"": true, ""poe"": false}",Cost-effective managed switch with UniFi cloud management.
NET005,Cisco ASA 5506-X Firewall,Firewall,Cisco,42000,"{""throughput_gbps"": 0.75, ""vpn_peers"": 50, ""interfaces"": 8, ""firepower"": true}",Next-generation firewall with IPS for small to medium businesses.
NET006,Fortinet FortiGate 60F,Firewall,Fortinet,38000,"{""throughput_gbps"": 10, ""vpn_peers"": 200, ""interfaces"": 10, ""sd_wan"": true}",Compact next-gen firewall with SD-WAN for branch offices.
NET007,Ubiquiti UniFi AP WiFi 6 Pro,Wireless AP,Ubiquiti,8500,"{""wifi_standard"": ""WiFi 6 (802.11ax)"", ""max_speed_mbps"": 5400, ""frequency"": ""Dual Band"", ""poe_required"": true, ""coverage_sqm"": 280}",High-performance WiFi 6 access point for dense user environments.
NET008,Cisco Aironet 9120 WiFi 6,Wireless AP,Cisco,18000,"{""wifi_standard"": ""WiFi 6 (802.11ax)"", ""max_speed_mbps"": 5400, ""frequency"": ""Tri Band"", ""poe_required"": true, ""coverage_sqm"": 400}",Enterprise-grade tri-band access point for large office deployments.
STG001,Synology DS923+ NAS,NAS Storage,Synology,28000,"{""bays"": 4, ""max_capacity_tb"": 72, ""ram_gb"": 4, ""cpu"": ""AMD Ryzen R1600"", ""raid"": ""RAID 0/1/5/6/10"", ""network_ports"": 2}","4-bay NAS for small business file sharing, backup, and surveillance."
STG002,Synology DS1522+ NAS,NAS Storage,Synology,48000,"{""bays"": 5, ""max_capacity_tb"": 100, ""ram_gb"": 8, ""cpu"": ""AMD Ryzen R1600"", ""raid"": ""RAID 0/1/5/6/10"", ""network_ports"": 4}",5-bay NAS with 10GbE support for medium business workloads.
STG003,QNAP TS-464 NAS,NAS Storage,QNAP,22000,"{""bays"": 4, ""max_capacity_tb"": 72, ""ram_gb"": 8, ""cpu"": ""Intel Celeron N5105"", ""raid"": ""RAID 0/1/5/6"", ""network_ports"": 2}",Budget NAS with multimedia and virtualization capabilities.
STG004,Dell PowerVault ME5012,SAN Storage,Dell,280000,"{""bays"": 12, ""max_capacity_tb"": 200, ""interface"": ""iSCSI/FC"", ""raid"": ""RAID 0/1/5/6/10"", ""cache_gb"": 8}",Enterprise SAN storage array for high-performance database workloads.
